PHYS104,ELEKTRİK LABORATUVARI,6
MAT152,MATEMATİKSEL ANALİZ II,8
ENGE410,PRESENTATION SKILLS,2
ENG330,DEVELOPING ENGLISH LANGUAGE SKILLS,8
MAT151,MATEMATİKSEL ANALİZ I,5
CSE105,PROGRAMMING LABORATORY I,3
ENGE310,DEVELOPING ENGLISH LANGUAGE SKILLS,4
CSE101,COMPUTER PROGRAMMING I,1
ENGE199,ADVANCED ENGLISH I,6
FİZ110,GENEL FİZİK II,10
FİZ104,ELEKTRİK LABORATUVARI,10
BİL101,BİLGİSAYAR YAZILIMI I,6
MATH152,MATEMATİKSEL ANALİZ II,6
ENG199,ADVANCED ENGLISH I,8
MATH151,MATEMATİKSEL ANALİZ I,3
ENG200,ADVANCED ENGLISH II,5
ENGE200,ADVANCED ENGLISH II,3
PHYS110,GENEL FİZİK II,6
BİL105,PROGRAMLAMA LABORATUVARI I,8
ENG460,PRESENTATION SKILLS,9
