course_id,department_id
25,10
1172,10
1301,11
1,1
975,8
19,12
574,5
1,11
911,8
98,12
718,6
1,5
1057,9
422,4
19,8
26,1
1083,9
52,1
1480,6
1230,10
93,6
1465,6
115,6
185,2
1364,11
477,4
1466,12
98,4
732,6
837,7
688,6
19,4
195,2
576,5
1443,12
6,6
4,3
117,4
90,8
861,12
1478,12
18,7
120,11
388,6
90,10
113,3
1225,10
1308,11
393,10
388,7
988,8
646,6
28,1
19,11
452,4
859,12
330,3
114,10
701,6
1462,12
92,10
1485,12
1452,12
966,8
1496,6
942,8
825,7
2,5
1375,11
1313,11
40,1
857,7
16,6
202,2
546,5
858,6
471,4
1407,6
328,3
153,2
120,5
1241,10
389,12
706,6
68,1
1075,9
118,6
88,1
121,2
699,6
24,9
1307,11
1224,10
1181,10
25,5
824,7
1439,6
98,8
436,11
386,9
1065,9
98,9
1349,11
93,5
208,2
91,2
15,3
412,4
567,5
1,4
791,7
592,5
448,4
1481,6
117,3
280,3
92,9
10,3
970,8
465,4
1335,11
116,6
469,4
1,10
709,6
974,8
11,1
18,2
3,2
2,8
92,2
397,4
320,3
861,6
204,2
801,7
382,11
1429,6
1363,11
390,4
25,3
341,3
599,5
115,2
119,2
809,7
381,11
566,5
6,1
36,1
712,6
854,7
113,2
1432,12
936,8
1473,6
855,7
149,2
1407,12
142,2
14,3
303,11
570,5
90,6
1231,10
1201,10
987,8
590,5
445,4
343,6
963,8
935,8
1372,11
341,6
401,4
164,2
342,3
3,1
933,8
1193,10
114,8
775,7
17,3
708,6
420,4
388,10
386,10
919,8
1358,11
1440,6
71,1
296,3
1073,9
447,4
595,5
86,1
345,3
8,3
535,5
964,8
1486,6
401,6
511,5
116,3
186,2
842,7
1430,6
341,5
435,4
129,6
2,10
826,7
1469,6
720,6
129,3
91,1
170,2
1361,11
197,2
1446,12
385,10
1435,12
114,11
24,1
1445,6
1343,11
8,1
1437,6
163,2
393,4
594,5
1501,12
2,7
119,10
256,3
19,10
16,3
456,4
1099,11
1319,11
118,8
940,8
1485,6
118,2
958,8
1173,10
910,8
1,3
1480,12
98,10
693,6
394,8
19,5
660,6
1444,6
117,9
67,1
792,7
735,6
129,5
191,2
119,12
