instructor_id,department_id
1,1
1,8
9,1
9,8
11,4
12,1
12,8
13,1
13,8
14,5
14,9
15,5
15,9
16,2
16,10
18,5
18,9
22,5
22,9
23,4
24,5
24,9
25,3
25,11
26,6
26,12
29,7
33,5
33,9
34,4
36,2
36,10
38,6
38,12
39,7
41,2
41,10
42,3
42,11
43,3
43,11
45,5
45,9
47,7
48,3
48,11
50,7
53,5
53,9
54,4
58,5
58,9
59,5
59,9
60,2
60,10
61,3
61,11
63,3
63,11
64,3
64,11
65,4
67,5
67,9
69,4
70,3
70,11
72,4
74,6
74,12
76,2
76,10
77,4
78,2
78,10
79,2
79,10
81,2
81,10
85,6
85,12
86,5
86,9
87,4
90,3
90,11
92,6
92,12
94,3
94,11
96,5
96,9
97,2
97,10
99,3
99,11
100,4
102,3
102,11
105,5
105,9
107,1
107,8
108,1
108,8
108,3
108,11
109,12
110,1
110,8
111,1
111,8
111,2
111,10
112,1
112,8
113,1
113,8
114,1
114,8
115,2
115,10
116,1
116,8
117,12
117,7
118,1
118,8
119,1
119,8
120,1
120,8
121,12
121,5
121,9
122,1
122,8
123,2
123,10
124,1
124,8
125,1
125,8
126,2
126,10
127,2
127,10
127,3
127,11
128,4
128,6
128,12
129,4
129,6
129,12
130,2
130,10
131,3
131,11
132,5
132,9
132,4
133,1
133,8
133,4
134,1
134,8
134,7
135,1
135,8
136,3
136,11
136,5
136,9
137,3
137,11
138,3
138,11
139,1
139,8
140,4
140,6
140,12
141,1
141,8
142,2
142,10
143,1
143,8
143,4
144,2
144,10
145,3
145,11
146,1
146,8
147,12
147,5
147,9
148,3
148,11
149,1
149,8
150,2
150,10
151,3
151,11
152,3
152,11
153,3
153,11
154,1
154,8
155,2
155,10
156,2
156,10
156,1
156,8
157,1
157,8
157,4
158,1
158,8
159,3
159,11
160,2
160,10
161,1
161,8
162,1
162,8
163,1
163,8
164,1
164,8
165,12
165,5
165,9
166,2
166,10
167,12
167,5
167,9
168,1
168,8
169,1
169,8
169,4
170,1
170,8
171,2
171,10
171,4
172,2
172,10
172,4
173,5
173,9
174,3
174,11
175,4
175,6
175,12
176,5
176,9
176,4
177,5
177,9
178,1
178,8
179,4
180,1
180,8
181,1
181,8
182,1
182,8
183,1
183,8
183,2
183,10
184,1
184,8
185,1
185,8
186,4
187,1
187,8
188,1
188,8
189,2
189,10
190,1
190,8
191,1
191,8
192,12
193,3
193,11
194,4
195,1
195,8
196,1
196,8
197,1
197,8
198,1
198,8
199,12
200,1
200,8
201,3
201,11
202,3
202,11
203,1
203,8
204,4
205,4
206,1
206,8
207,1
207,8
208,1
208,8
209,1
209,8
210,3
210,11
211,1
211,8
212,1
212,8
213,1
213,8
214,1
214,8
215,1
215,8
216,1
216,8
217,7
218,2
218,10
219,1
219,8
220,1
220,8
221,1
221,8
222,1
222,8
223,1
223,8
224,1
224,8
225,1
225,8
226,1
226,8
227,1
227,8
228,1
228,8
229,1
229,8
230,1
230,8
231,1
231,8
232,1
232,8
233,1
233,8
234,7
235,1
235,8
236,1
236,8
237,1
237,8
238,1
238,8
239,1
239,8
240,1
240,8
241,1
241,8
242,1
242,8
243,1
243,8
244,1
244,8
245,1
245,8
246,6
246,12
247,2
247,10
248,1
248,8
249,1
249,8
250,2
250,10
251,1
251,8
252,1
252,8
253,1
253,8
254,1
254,8
